,DataType,CollectionTime,Skewness,FeatureEngineering,Classifier,CurbStrat,AgeStrat,AUC,Recall,Precision,Accuracy,Brier,F1_score
0,Static,Pnt,Bal,NoF,LR,,,0.7201954836290374,0.5498971193415638,0.41595330739299613,0.6989356310187532,0.19297194061494036,0.4736375719982277
0,Static,Pnt,Bal,NoF,LR,,>65,0.6641289299848827,0.6361416361416361,0.4154704944178628,0.6152267214032469,0.23761520720898016,0.5026531596719729
0,Static,Pnt,Bal,NoF,LR,,<65,0.7109985589805448,0.47058823529411764,0.2521891418563923,0.7674694038689301,0.16356478503939142,0.32839224629418473
0,Static,Pnt,Unbal,XGB,RF,,,0.7182499097113253,0.10185185185185185,0.6206896551724138,0.7634313228585909,0.16592447040340647,0.17498895271763143
0,Static,Pnt,Unbal,XGB,RF,,>65,0.6726733954629682,0.09096459096459096,0.6260504201680672,0.7055420787460347,0.1987587259234114,0.15884861407249465
0,Static,Pnt,Unbal,XGB,RF,,<65,0.6933005802231086,0.049019607843137254,0.45454545454545453,0.878010264508488,0.09999254747302302,0.08849557522123894
0,Static,Pnt,Unbal,RFT,RF,,,0.7215340737696525,0.06944444444444445,0.6887755102040817,0.7630511910795742,0.16708882575493791,0.12616822429906543
0,Static,Pnt,Unbal,RFT,RF,,>65,0.6690742146264855,0.08241758241758242,0.6221198156682027,0.704235864900168,0.19966657166277285,0.14555256064690025
0,Static,Pnt,Unbal,RFT,RF,,<65,0.692408380804799,0.03594771241830065,0.4074074074074074,0.8772206869324911,0.09996073226679424,0.06606606606606606
0,Static,Pnt,Unbal,STA,RF,,,0.7111948529920491,0.09825102880658436,0.6452702702702703,0.7645717181956412,0.16910501179284398,0.1705357142857143
0,Static,Pnt,Unbal,STA,RF,,>65,0.6609483711069305,0.10744810744810745,0.6470588235294118,0.709274118305654,0.2017947218059441,0.1842931937172775
0,Static,Pnt,Unbal,STA,RF,,<65,0.6815273632278835,0.0718954248366013,0.5,0.8791946308724832,0.10188425402400765,0.12571428571428572
0,Static,Pnt,Unbal,NoF,RF,,,0.721171492094725,0.09362139917695474,0.6385964912280702,0.7636847440446022,0.1654698808920426,0.1633019291161956
0,Static,Pnt,Unbal,NoF,RF,,>65,0.6733168739349873,0.07936507936507936,0.6435643564356436,0.7051688747900727,0.1988875881241306,0.14130434782608695
