,0,1,2,3,4+,sum_real,sum_pred,0,1,2,3,4+,sum_real,sum_pred,name
2,96,61,83,156,96,492,406,0.03955500618046971,0.025133910177173466,0.03419859909353111,0.06427688504326329,0.03955500618046971,0.2027194066749073,0.1672847136382365,EWS_u_65_LSTM
3,108,41,96,177,97,519,747,0.04449938195302843,0.016893283889575606,0.03955500618046971,0.07292954264524104,0.03996703749484961,0.2138442521631644,0.30778739184178,EWS_u_65_LSTM
4+,115,44,130,265,184,738,505,0.04738360115368768,0.018129377832715288,0.053564070869386075,0.10918829831067162,0.07581376184590029,0.30407911001236093,0.2080758137618459,EWS_u_65_LSTM
0,48,33,111,111,23,326,261,0.019777503090234856,0.013597033374536464,0.04573547589616811,0.04573547589616811,0.009476720230737536,0.13432220848784507,0.10754017305315204,EWS_u_65_GRU
1,44,45,121,83,59,352,299,0.018129377832715288,0.018541409147095178,0.049855789039967034,0.03419859909353111,0.024309847548413678,0.1450350226617223,0.12319736299958797,EWS_u_65_GRU
2,62,64,201,79,86,492,977,0.02554594149155336,0.026370004120313144,0.08281829419035847,0.032550473836011534,0.03543469303667079,0.2027194066749073,0.40255459414915534,EWS_u_65_GRU
3,50,71,253,53,92,519,389,0.020601565718994644,0.029254223320972394,0.10424392253811289,0.021837659662134322,0.037906880922950144,0.2138442521631644,0.16028018129377833,EWS_u_65_GRU
4+,57,86,291,63,241,738,501,0.023485784919653894,0.03543469303667079,0.11990111248454882,0.02595797280593325,0.09929954676555418,0.30407911001236093,0.20642768850432633,EWS_u_65_GRU
0,313,150,414,308,304,1489,734,0.05727355901189387,0.027447392497712716,0.0757548032936871,0.05635864592863678,0.05562671546203111,0.27246111619396157,0.1343092406221409,EWS_o_65_SVM
1,122,100,265,216,232,935,607,0.02232387923147301,0.018298261665141813,0.0484903934126258,0.03952424519670631,0.042451967063129,0.17108874656907594,0.1110704483074108,EWS_o_65_SVM
2,140,136,337,275,286,1174,1483,0.025617566331198535,0.024885635864592862,0.06166514181152791,0.05032021957913998,0.05233302836230558,0.21482159194876488,0.2713632204940531,EWS_o_65_SVM
3,93,103,219,214,250,879,1248,0.017017383348581886,0.018847209515096067,0.040073193046660564,0.03915827996340348,0.04574565416285453,0.16084172003659652,0.22836230558096982,EWS_o_65_SVM
4+,66,118,248,235,321,988,1393,0.012076852698993596,0.02159194876486734,0.045379688929551694,0.043000914913083256,0.058737419945105215,0.18078682525160109,0.25489478499542545,EWS_o_65_SVM
0,360,56,432,263,378,1489,849,0.06587374199451052,0.010247026532479414,0.07904849039341262,0.04812442817932296,0.06916742909423605,0.27246111619396157,0.155352241537054,EWS_o_65_XGB
1,161,31,247,189,307,935,181,0.029460201280878315,0.005672461116193962,0.04519670631290027,0.034583714547118026,0.05617566331198536,0.17108874656907594,0.03311985361390668,EWS_o_65_XGB
2,180,41,347,231,375,1174,1516,0.03293687099725526,0.007502287282708142,0.06349496797804209,0.04226898444647759,0.0686184812442818,0.21482159194876488,0.27740164684354984,EWS_o_65_XGB
3,100,24,218,214,323,879,1133,0.018298261665141813,0.004391582799634035,0.03989021043000915,0.03915827996340348,0.059103385178408054,0.16084172003659652,0.20731930466605672,EWS_o_65_XGB
4+,48,29,272,236,403,988,1786,0.00878316559926807,0.005306495882891125,0.049771271729185725,0.04318389752973468,0.0737419945105215,0.18078682525160109,0.32680695333943277,EWS_o_65_XGB
0,445,305,256,275,208,1489,985,0.08142726440988106,0.055809698078682524,0.04684354986276304,0.05032021957913998,0.038060384263494965,0.27246111619396157,0.18023787740164685,EWS_o_65_LSTM
1,190,200,158,198,189,935,1040,0.03476669716376944,0.036596523330283626,0.02891125343092406,0.03623055809698079,0.034583714547118026,0.17108874656907594,0.19030192131747484,EWS_o_65_LSTM
2,167,214,250,330,213,1174,974,0.030558096980786827,0.03915827996340348,0.04574565416285453,0.06038426349496798,0.03897529734675206,0.21482159194876488,0.17822506861848125,EWS_o_65_LSTM
3,105,163,140,301,170,879,1416,0.0192131747483989,0.029826166514181154,0.025617566331198535,0.055077767612076854,0.03110704483074108,0.16084172003659652,0.25910338517840803,EWS_o_65_LSTM
4+,78,158,170,312,270,988,1050,0.014272644098810613,0.02891125343092406,0.03110704483074108,0.057090576395242454,0.04940530649588289,0.18078682525160109,0.19213174748398903,EWS_o_65_LSTM
0,441,334,283,216,215,1489,934,0.08069533394327538,0.06111619396157365,0.051784080512351324,0.03952424519670631,0.039341262580054895,0.27246111619396157,0.17090576395242452,EWS_o_65_GRU
1,177,204,175,150,229,935,1077,0.032387923147301004,0.037328453796889295,0.03202195791399817,0.027447392497712716,0.04190301921317475,0.17108874656907594,0.1970722781335773,EWS_o_65_GRU
